STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
       5705;2024121206;    9;    0.7;  84.0;eor
       5705;2024121212;    9;    1.0;  80.0;eor
       5705;2024121218;    9;    0.0;  85.0;eor
       5705;2024121306;    9;   -0.8;  85.0;eor
       5705;2024121312;    9;    0.5;  83.0;eor
       5705;2024121318;    9;    0.6;  84.0;eor
       5705;2024121406;    9;   -0.8;  89.0;eor
       5705;2024121412;    9;    1.7;  80.0;eor
       5705;2024121418;    9;    0.5;  80.0;eor
       5705;2024121506;    9;    2.4;  84.0;eor
       5705;2024121512;    9;    2.8;  86.0;eor
       5705;2024121518;    9;    4.2;  87.0;eor
       5705;2024121606;    9;    6.0;  88.0;eor
       5705;2024121612;    9;    7.6;  85.0;eor
       5705;2024121618;    9;    7.3;  85.0;eor
       5705;2024121706;    9;    6.1;  92.0;eor
       5705;2024121712;    9;   -999;-999;eor
       5705;2024121718;    9;    5.7;  86.0;eor
       5705;2024121806;    9;    2.9;  96.0;eor
       5705;2024121812;    9;   10.1;  60.0;eor
       5705;2024121818;    9;    9.9;  62.0;eor
       5705;2024121906;    9;   10.8;  80.0;eor
       5705;2024121912;    9;   10.4;  90.0;eor
       5705;2024121918;    9;    6.2;  86.0;eor
       5705;2024122006;    9;    2.5;  87.0;eor
       5705;2024122012;    9;    4.4;  75.0;eor
       5705;2024122018;    9;    2.8;  76.0;eor
       5705;2024122106;    9;    2.9;  75.0;eor
       5705;2024122112;    9;    4.9;  77.0;eor
       5705;2024122118;    9;    5.8;  80.0;eor
       5705;2024122206;    9;    5.5;  93.0;eor
       5705;2024122212;    9;    6.7;  69.0;eor
       5705;2024122218;    9;    2.0;  80.0;eor
       5705;2024122306;    9;    0.5;  88.0;eor
       5705;2024122312;    9;    2.6;  86.0;eor
       5705;2024122318;    9;    3.4;  82.0;eor
       5705;2024122406;    9;    1.8;  86.0;eor
       5705;2024122412;    9;    4.1;  77.0;eor
       5705;2024122418;    9;    1.6;  88.0;eor
       5705;2024122506;    9;    0.0;  92.0;eor
       5705;2024122512;    9;    4.0;  76.0;eor
       5705;2024122518;    9;    2.1;  86.0;eor
       5705;2024122606;    9;   -2.3;  97.0;eor
       5705;2024122612;    9;    3.9;  71.0;eor
       5705;2024122618;    9;    0.4;  90.0;eor
       5705;2024122706;    9;   -4.1;  95.0;eor
       5705;2024122712;    9;    2.7;  72.0;eor
       5705;2024122718;    9;    0.3;  84.0;eor
       5705;2024122806;    9;   -4.9;  94.0;eor
       5705;2024122812;    9;   -1.8;  95.0;eor
       5705;2024122818;    9;   -1.3;  92.0;eor
       5705;2024122906;    9;   -2.2;  95.0;eor
       5705;2024122912;    9;   -1.8;  96.0;eor
       5705;2024122918;    9;   -1.1;  95.0;eor
       5705;2024123006;    9;   -1.9;  90.0;eor
       5705;2024123012;    9;   -1.2;  94.0;eor
       5705;2024123018;    9;   -1.7;  98.0;eor
       5705;2024123106;    9;   -3.1;  96.0;eor
       5705;2024123112;    9;   -2.3;  95.0;eor
       5705;2024123118;    9;   -2.9;  94.0;eor
       5705;2025010106;    9;   -0.3;  91.0;eor
       5705;2025010112;    9;    3.7;  67.0;eor
       5705;2025010118;    9;    6.7;  50.0;eor
       5705;2025010206;    9;    5.9;  74.0;eor
       5705;2025010212;    9;    0.1;  96.0;eor
       5705;2025010218;    9;    0.7;  94.0;eor
       5705;2025010306;    9;    0.9;  87.0;eor
       5705;2025010312;    9;    1.7;  69.0;eor
       5705;2025010318;    9;    0.0;  74.0;eor
       5705;2025010406;    9;   -1.3;  85.0;eor
       5705;2025010412;    9;    0.0;  81.0;eor
       5705;2025010418;    9;   -1.3;  86.0;eor
       5705;2025010506;    9;   -1.8;  92.0;eor
       5705;2025010512;    9;    0.2;  95.0;eor
       5705;2025010518;    9;    6.9;  96.0;eor
       5705;2025010606;    9;    6.2;  79.0;eor
       5705;2025010612;    9;   12.8;  56.0;eor
